# Navigation Errors
# DNS resolution failures, connection refused, network issues
# Format: [timestamp] | Category: network/<subcat> | Phase: <phase> | Code: <code> | URL: <url> | Message: <msg>
[2025-07-02T14:58:15.924Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://arzanmobile.ir | Message: net::ERR_NAME_NOT_RESOLVED at https://arzanmobile.ir
[2025-07-02T14:58:38.810Z] | Category: network/routing | Phase: data_extraction | Code: ADDRESS_UNREACHABLE | URL: https://giosis.net | Message: net::ERR_ADDRESS_UNREACHABLE at https://giosis.net
[2025-07-02T14:58:54.462Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://ivoire-blog.com | Message: net::ERR_NAME_NOT_RESOLVED at https://ivoire-blog.com
[2025-07-02T14:58:58.158Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://dom2.su | Message: net::ERR_NAME_NOT_RESOLVED at https://dom2.su
[2025-07-02T14:59:00.385Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://djboss.in | Message: net::ERR_NAME_NOT_RESOLVED at https://djboss.in
[2025-07-02T14:59:22.693Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://stylesha.re | Message: net::ERR_NAME_NOT_RESOLVED at https://stylesha.re
[2025-07-02T14:59:25.859Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://web-films.net | Message: net::ERR_NAME_NOT_RESOLVED at https://web-films.net
[2025-07-02T14:59:38.540Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://buxcpt.com | Message: net::ERR_NAME_NOT_RESOLVED at https://buxcpt.com
[2025-07-02T15:00:02.413Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://black-bbs.com | Message: net::ERR_NAME_NOT_RESOLVED at https://black-bbs.com
[2025-07-02T15:00:05.109Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://douglaslab.net | Message: net::ERR_NAME_NOT_RESOLVED at https://douglaslab.net
[2025-07-02T15:00:08.867Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://secki2015.az | Message: net::ERR_NAME_NOT_RESOLVED at https://secki2015.az
