# General Processing Errors
# Unknown or uncategorized errors
# Format: [timestamp] | URL: <url> | Message: <msg> | Error: <code>
[2025-06-30T22:29:26.641Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://galaktikalife.ru | Message: Navigating frame was detached
[2025-06-30T22:29:33.564Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://classifieds24.ru | Message: Navigating frame was detached
[2025-06-30T22:29:37.365Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://bildungsserver.de | Message: Navigating frame was detached
[2025-06-30T22:29:56.664Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://medical-enc.ru | Message: net::ERR_SSL_UNRECOGNIZED_NAME_ALERT at https://medical-enc.ru
[2025-06-30T22:30:23.799Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://ttnnews.com | Message: Navigating frame was detached
[2025-06-30T22:31:49.671Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://opensolution.org | Message: Navigating frame was detached
[2025-06-30T22:31:49.714Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://travelclick.com | Message: Navigating frame was detached
[2025-06-30T22:32:19.303Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://celebrityrevolt.com | Message: net::ERR_QUIC_PROTOCOL_ERROR at https://celebrityrevolt.com
[2025-06-30T22:32:55.876Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://juguetilandia.com | Message: Navigating frame was detached
[2025-06-30T22:32:56.357Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://voenhronika.ru | Message: Navigating frame was detached
[2025-06-30T22:33:04.187Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://gongbo.com | Message: Navigating frame was detached
