# Access Control Errors
# Authentication failures, rate limiting, bot detection, CDN protection
# Format: [timestamp] | Category: access/<subcat> | Phase: <phase> | Code: <code> | URL: <url> | Message: <msg>
[2025-09-01T21:08:20.319Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.fishingmax.co.jp | Message: net::ERR_TIMED_OUT at http://www.fishingmax.co.jp
[2025-09-01T21:23:27.045Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.flyers365-uk.com | Message: net::ERR_EMPTY_RESPONSE at http://www.flyers365-uk.com
[2025-09-01T21:25:50.605Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.flywareagle.com | Message: Page was closed during navigation checks
[2025-09-01T22:03:19.181Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.footywelt.com | Message: net::ERR_TIMED_OUT at http://www.footywelt.com
[2025-09-01T22:06:37.462Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.forebears.io | Message: net::ERR_TIMED_OUT at http://www.forebears.io
[2025-09-01T22:17:26.509Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.fortmcmurraytoday.com | Message: Page was closed during navigation checks
[2025-09-01T22:17:26.520Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.fortnitenews.com | Message: Page was closed during navigation checks
[2025-09-01T22:23:10.643Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.forum-chien.com | Message: Page was closed during navigation checks
[2025-09-01T23:02:15.784Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.freeparkingspots.com | Message: Redirected to problematic domain: freeparkingspots.com
[2025-09-01T23:02:56.322Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.freethankyounotes.com | Message: net::ERR_HTTP2_PROTOCOL_ERROR at http://www.freethankyounotes.com
[2025-09-01T23:13:22.895Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.frommilestosmiles.com | Message: net::ERR_TIMED_OUT at http://www.frommilestosmiles.com
[2025-09-01T23:20:05.357Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.fuji-non.com | Message: Page was closed during navigation checks
[2025-09-01T23:30:43.784Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.futebon.com | Message: net::ERR_TIMED_OUT at http://www.futebon.com
[2025-09-01T23:30:49.709Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.futmind.com | Message: net::ERR_ABORTED at http://www.futmind.com
[2025-09-01T23:32:59.269Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.futboltotal.com | Message: net::ERR_TIMED_OUT at http://www.futboltotal.com
[2025-09-01T23:39:29.293Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.gagarini35.com | Message: Page was closed during navigation checks
[2025-09-01T23:39:29.310Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.galaxyaddicted.it | Message: Page was closed during navigation checks
[2025-09-01T23:45:21.727Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.gamemile.com | Message: net::ERR_TIMED_OUT at http://www.gamemile.com
[2025-09-01T23:45:52.803Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.gamepedia.jp | Message: net::ERR_TIMED_OUT at http://www.gamepedia.jp
[2025-09-01T23:46:26.298Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.gamerdiscovery.com | Message: net::ERR_TIMED_OUT at http://www.gamerdiscovery.com
[2025-09-01T23:59:38.157Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.gastromium.com | Message: net::ERR_TOO_MANY_REDIRECTS at http://www.gastromium.com
[2025-09-02T00:07:08.836Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.geekchamp.com | Message: net::ERR_TIMED_OUT at http://www.geekchamp.com
[2025-09-02T00:10:38.367Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.gelbeseiten.de | Message: net::ERR_CONNECTION_RESET at http://www.gelbeseiten.de
[2025-09-02T00:46:39.002Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.gobocom.com | Message: net::ERR_TIMED_OUT at http://www.gobocom.com
[2025-09-02T00:47:50.672Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.godrules.net | Message: net::ERR_TIMED_OUT at http://www.godrules.net
[2025-09-02T00:55:49.860Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.goldenbearlair.com | Message: Page was closed during navigation checks
[2025-09-02T01:04:36.458Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.gorbn.com | Message: Redirected to problematic domain: www.godaddy.com
[2025-09-02T01:05:29.791Z] | Category: access/http_error | Phase: data_extraction | Code: ACCESS_FORBIDDEN | URL: http://www.goselfemployed.co | Message: net::ERR_TIMED_OUT at http://www.goselfemployed.co
